episode,step,warehouse_1_stock,warehouse_2_stock,action,reward,holding_cost,stockout_cost,order_cost,total_cost,service_level,explanation
1,1,0.0,1.0,8,-25899.06788990826,0.0,2160.0,8000.0,10160.0,0.00917431192660545,Large order 80 units (stock: 0)
1,2,0.0,0.0,8,-8100.0,0.0,100.0,8000.0,8100.0,0.9523809523809523,Large order 80 units (stock: 0)
1,3,0.0,0.0,8,-8018.5,18.5,0.0,8000.0,8018.5,1.0,Large order 80 units (stock: 0)
1,4,18.0,19.0,8,-8029.0,29.0,0.0,8000.0,8029.0,1.0,Large order 80 units (stock: 18)
1,5,24.0,34.0,8,-10213.528825622776,0.0,1260.0,7500.0,8760.0,0.7758007117437722,Large order 80 units (stock: 24)
1,6,0.0,0.0,8,-16409.705109489052,0.0,2280.0,8000.0,10280.0,0.583941605839416,Large order 80 units (stock: 0)
1,7,0.0,0.0,8,-23674.0,0.0,3400.0,8000.0,11400.0,0.46875,Large order 80 units (stock: 0)
1,8,0.0,0.0,8,-8009.5,9.5,0.0,8000.0,8009.5,1.0,Large order 80 units (stock: 0)
1,9,4.0,15.0,8,-8017.0,17.0,0.0,8000.0,8017.0,1.0,Large order 80 units (stock: 4)
1,10,21.0,13.0,8,-8009.5,9.5,0.0,8000.0,8009.5,1.0,Large order 80 units (stock: 21)
1,11,13.0,6.0,8,-8007.0,7.0,0.0,8000.0,8007.0,1.0,Large order 80 units (stock: 13)
1,12,9.0,5.0,8,-8017.5,17.5,0.0,8000.0,8017.5,1.0,Large order 80 units (stock: 9)
1,13,23.0,12.0,8,-8016.0,16.0,0.0,8000.0,8016.0,1.0,Large order 80 units (stock: 23)
1,14,24.0,8.0,8,-8031.0,31.0,0.0,8000.0,8031.0,1.0,Large order 80 units (stock: 24)
1,15,34.0,28.0,7,-7035.5,35.5,0.0,7000.0,7035.5,1.0,Large order 70 units (stock: 34)
1,16,42.0,29.0,6,-6545.5,45.5,0.0,6500.0,6545.5,1.0,Large order 60 units (stock: 42)
1,17,50.0,41.0,5,-5542.0,42.0,0.0,5500.0,5542.0,1.0,Large order 50 units (stock: 50)
1,18,52.0,32.0,5,-6037.5,37.5,0.0,6000.0,6037.5,1.0,Large order 50 units (stock: 52)
1,19,42.0,33.0,6,-10588.042911877395,0.0,1520.0,6500.0,8020.0,0.7088122605363985,Large order 60 units (stock: 42)
1,20,0.0,0.0,8,-19882.482868525898,0.0,2620.0,8000.0,10620.0,0.47808764940239046,Large order 80 units (stock: 0)
1,21,0.0,0.0,8,-15909.572413793105,0.0,2040.0,8000.0,10040.0,0.5603448275862069,Large order 80 units (stock: 0)
1,22,0.0,0.0,8,-11386.514285714286,0.0,1280.0,8000.0,9280.0,0.7142857142857143,Large order 80 units (stock: 0)
1,23,0.0,0.0,8,-8015.0,15.0,0.0,8000.0,8015.0,1.0,Large order 80 units (stock: 0)
1,24,15.0,15.0,8,-8038.0,38.0,0.0,8000.0,8038.0,1.0,Large order 80 units (stock: 15)
1,25,33.0,43.0,7,-6562.5,62.5,0.0,6500.0,6562.5,1.0,Large order 70 units (stock: 33)
1,26,59.0,66.0,4,-3597.0,97.0,0.0,3500.0,3597.0,1.0,Large order 40 units (stock: 59)
1,27,91.0,103.0,1,-614.0,114.0,0.0,500.0,614.0,1.0,Order 10 units (stock: 91)
1,28,115.0,113.0,0,-103.0,103.0,0.0,0.0,103.0,1.0,No order (stock: 115)
1,29,111.0,95.0,0,-41.0,41.0,0.0,0.0,41.0,1.0,No order (stock: 111)
1,30,59.0,23.0,4,-7341.429411764706,3.5,540.0,6000.0,6543.5,0.7352941176470589,Large order 40 units (stock: 59)
